original_id,namn,ansvarigt_lan,kommuner,antal_arter,arter,fiskekartan_arter,antal_sjoar_survey,antal_vattendrag_survey,kallor,url_fvof,url_fiskekartan
629,Asa-Tolgasjöns fvof,Kronoberg,"Vetlanda, Växjö",23,Abborre; Benlöja; Bergsimpa; Björkna; Braxen; Bäcknejonöga; Elritsa; Flodkräfta; Gädda; Gärs; Gös; Lake; Mört; Sandkrypare; Sarv; Signalkräfta; Sik; Siklöja; Simpa (Berg-; Sten-; Sutare; Ål; Öring,,4,5,slu_provfiske; gbif,,https://fiskekartan.se/?fv=Asa-Tolgasjöns%20fvof&sp=false
1816,Askaremåla - Älmtasjöns fvof,Blekinge,Karlshamn,3,Abborre; Mört; Sik,,1,0,slu_provfiske,www.vattenagarna.se/blekinge-lans-radslagsgrupp/?o=845,https://fiskekartan.se/?fv=Askaremåla%20-%20Älmtasjöns%20fvof&sp=false
1868,Askesjö fvof,Västra Götaland,"Dals-Ed, Bengtsfors",7,Abborre; Benlöja; Flodkräfta; Gädda; Mört; Nors; Siklöja,,1,2,slu_provfiske,,https://fiskekartan.se/?fv=Askesjö%20fvof&sp=false
1768,Aspeboda fvof,Dalarna,"Leksand, Falun, Borlänge",17,Abborre; Benlöja; Braxen; Bäcknejonöga; Bäckröding; Elritsa; Flodkräfta; Gädda; Gärs; Lake; Mört; Regnbåge; Röding; Simpa (Berg-; Sten-; Stensimpa; Öring,Abborre; Braxen; Bäckröding; Gädda; Lake; Mört; Regnbåge; Röding; Öring,1,3,fiskekartan; slu_provfiske,www.ifiske.se/fiske-stora-aspan-lilla-aspan-spjutsjon-m-fl-vatten.htm,https://fiskekartan.se/?fv=Aspeboda%20fvof&sp=false
877,Aspen-Daglösens fvof,Värmland,"Storfors, Filipstad",14,Abborre; Benlöja; Bergsimpa; Braxen; Gädda; Gärs; Kräfta obestämd; Lake; Mört; Signalkräfta; Simpa (Berg-; Sten-; Stensimpa; Öring,,1,5,slu_provfiske,www.vattenagarna.se/varmlands-lans-fiskevardsforbund/?o=751,https://fiskekartan.se/?fv=Aspen-Daglösens%20fvof&sp=false
2090,Aspens fvof,Västra Götaland,"Partille, Lerum",24,Abborre; Benlöja; Bäcknejonöga; Elritsa; Flodnejonöga; Färna; Gädda; Id; Karpfisk obestämd; Kräfta obestämd; Lake; Lax; Lax_Öring_Hybrid; Mört; Nejonöga; Regnbåge; Signalkräfta; Simpa (Berg-; Sten-; Stensimpa; Stäm; Sutare; Ål; Öring,,0,6,slu_provfiske,www.vattenagarna.se/fiskevattenagarna-i-vastra-sverige/?o=670,https://fiskekartan.se/?fv=Aspens%20fvof&sp=false
905,Aspens fvof,Värmland,Säffle,12,Abborre; Braxen; Bäcknejonöga; Elritsa; Gädda; Gös; Lake; Mört; Ruda; Stensimpa; Ål; Öring,Abborre; Braxen; Gädda; Gös; Mört; Ruda; Ål,0,3,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Aspens%20fvof&sp=false
1398,Aspensjöarnas fvof,Västmanland,Fagersta,14,Abborre; Benlöja; Björkna; Braxen; Gädda; Gärs; Gös; Lake; Mört; Nors; Sarv; Signalkräfta; Stensimpa; Öring,Abborre; Braxen; Gädda; Gös; Mört; Öring,1,1,fiskekartan; slu_provfiske,www.vattenagarna.se/vastmanlands-lans-fiskevattenagareforbund/?o=654,https://fiskekartan.se/?fv=Aspensjöarnas%20fvof&sp=false
1469,Asplångens fvof,Östergötland,"Norrköping, Söderköping",0,,,0,0,,www.vattenagarna.se/ostergotlands-lans-fiskevattenagareforbund/?o=462,https://fiskekartan.se/?fv=Asplångens%20fvof&sp=false
1874,Assman-Ätrans fvof,Västra Götaland,Svenljunga,11,Abborre; Bergsimpa; Elritsa; Gädda; Gös; Lake; Mört; Signalkräfta; Sutare; Ål; Öring,Abborre; Gädda; Gös; Mört; Sutare; Ål; Öring,1,5,fiskekartan; slu_provfiske,www.vattenagarna.se/sodra-alvsborgs-fiskevattenagareforbund/?o=358,https://fiskekartan.se/?fv=Assman-Ätrans%20fvof&sp=false
1238,Attmars fvof,Västernorrland,"Nordanstig, Sundsvall",27,Abborre; Benlöja; Braxen; Bäcknejonöga; Bäckröding; Elritsa; Flodkräfta; Gädda; Gärs; Gös; Id; Kräfta obestämd; Lake; Mört; Nejonöga; Nors; Regnbåge; Ruda; Röding; Sarv; Sik; Siklö; Simpa (Berg-; Sten-; Stensimpa; Stäm; Öring,Abborre; Benlöja; Braxen; Gädda; Gärs; Gös; Id; Lake; Mört; Nors; Ruda; Röding; Sarv; Sik; Siklö,2,19,fiskekartan; slu_provfiske; extern_fvof,www.attmarfvo.se/,https://fiskekartan.se/?fv=Attmars%20fvof&sp=false
488,Attsjö-Trullgöls fvof,Kronoberg,Växjö,4,Abborre; Braxen; Gädda; Mört,,1,0,slu_provfiske,,https://fiskekartan.se/?fv=Attsjö-Trullgöls%20fvof&sp=false
1092,Avaberg-Holmsunds fvof,Västerbotten,Skellefteå,14,Abborre; Benlöja; Bäckröding; Gädda; Gärs; Harr; Kanadaröding; Lake; Mört; Regnbåge; Röding; Sik; Siklöja; Öring,,2,1,slu_provfiske; gbif,,https://fiskekartan.se/?fv=Avaberg-Holmsunds%20fvof&sp=false
